old_path,new_path,md5,status
microdatos_tabulados/prog_gest_int_rsu_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_programas_gestion_integral_residuos_solidos_microdatos.dbf.zip,11622fa116b66c39b5dae83b2a7d6108,renamed
microdatos_tabulados/rec_rsu_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_recoleccion_residuos_solidos_urbanos_microdatos.dbf.zip,0276a5d60eb5c6e82a0af97d16f1e817,renamed
microdatos_tabulados/recursos_cngmd2013_dbf.zip,microdatos_tabulados/cngmd_2013_recursos_microdatos.dbf.zip,c0f2db5746a0f6b118b99102d818679c,renamed
microdatos_tabulados/serv_agua_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_servicio_agua_red_publica_microdatos.dbf.zip,b7c5cfeb1036595bf96349174b8fbc44,renamed
microdatos_tabulados/sp_Recursos_cngmd2015_dbf.zip,microdatos_tabulados/cngmd_2015_seguridad_publica_recursos_microdatos.dbf.zip,e3c34efbd6ff53f7cfeeab6ca9742287,renamed
microdatos_tabulados/sp_Seguridad_publica_cngmd2015_dbf.zip,microdatos_tabulados/cngmd_2015_seguridad_publica_microdatos.dbf.zip,19ec88f037da1c0aa7e4a953c818ef27,renamed
microdatos_tabulados/sp_ejercicio_cngmd2011_dbf.zip,microdatos_tabulados/cngmd_2011_seguridad_publica_ejercicio_funcion_microdatos.dbf.zip,ef78d4d369a32873161cff66921ba75a,renamed
microdatos_tabulados/sp_infraestructura_cngmd2011_dbf.zip,microdatos_tabulados/cngmd_2011_seguridad_publica_infraestructura_microdatos.dbf.zip,80aa10d94595224282600a31016c200f,renamed
microdatos_tabulados/sp_recursos_cngmd2011_dbf.zip,microdatos_tabulados/cngmd_2011_seguridad_publica_recursos_microdatos.dbf.zip,4f2489f0a7dcfa4ce4a9f9f674cde4d0,renamed
microdatos_tabulados/transp_cont_int_anticor_cngmd2013_dbf.zip,microdatos_tabulados/cngmd_2013_transparencia_control_interno_anticorrupcion_microdatos.dbf.zip,8c668c834a3781c441bd2dfc9e9da3f8,renamed
microdatos_tabulados/trat_aguas_resid_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_tratamiento_aguas_residuales_microdatos.dbf.zip,dc454a39fd97d5d8b6a5b6badfa4d9b2,renamed
microdatos_tabulados/trat_rsu_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_tratamiento_residuos_solidos_urbanos_microdatos.dbf.zip,1bea57ed3fa16bbccaf91ba0c38f8c4d,renamed
microdatos_tabulados/tys_gob_elec_cngmd2013_dbf.zip,microdatos_tabulados/cngmd_2013_tramites_servicios_gobierno_electronico_microdatos.dbf.zip,53f111d218fd4eb4c84bc0c5f05e7135,renamed
Censo Nacional de Gobierno Federal 2020. Marco conceptual.pdf,microdatos_tabulados/cngf_2020_marco_conceptual.pdf,27056957a79734a0116e8160ed21a591,renamed
Censo Nacional de Gobierno Federal 2021. Marco conceptual.xlsx,microdatos_tabulados/cngf_2021_marco_conceptual.xlsx,d678bf4405bd576ad7c7c028cb0ceeea,renamed
Censo Nacional de Gobierno Federal 2022. Marco conceptual.xlsx,microdatos_tabulados/cngf_2022_marco_conceptual.xlsx,ba77a16c2666a7e51bc1aa01dd41090d,renamed
Censo Nacional de Gobierno Federal 2023. Marco conceptual.xlsx,microdatos_tabulados/cngf_2023_marco_conceptual.xlsx,c24b9740d5d012abb81a58198b84cad1,renamed
Censo Nacional de Gobierno Federal 2024. Marco conceptual.xlsx,microdatos_tabulados/cngf_2024_marco_conceptual.xlsx,7492e905dfaecf4b6f7b474d74aee21a,renamed
Censo Nacional de Gobierno Federal 2025. Marco conceptual.xlsx,microdatos_tabulados/cngf_2025_marco_conceptual.xlsx,4af17e8f43c8424598f383fdcd61ddf7,renamed
